Country,ISIC_AB,ISIC_CE,ISIC_D,ISIC_F,ISIC_GH,ISIC_I,ISIC_JP,ISIC_C_E
French Polynesia,.083136546535471,.0601909158337188,.0927631378357222,.1094780982514457,.5086375150655476,.0929993822207808,.1455575420930362,-.032572221
Gabon,.0567344190826235,.0293042500139558,.0315536805481047,.8964150784238593,.0008699013803706,.0618868001822492,.0638739143949783,-.0022494306
Gambia,.5241155040110098,.0544347744369483,.0513423823726226,.0622893882672598,.1330991778337936,.0200105500895857,.2099603365267188,.0030923921
Georgia,,,,,,,,
Germany,.0187210307843772,.1024767554566316,.298604081792416,.3432233992787936,.3478409056706857,.0696961941602591,.1064413684967544,-.19612733
Ghana,.3881042242000945,.048781340478472,.3075803993191434,.3472886497702447,.0767323882938838,.0635780406457058,.0805982663487344,-.25879905
Greece,.1061302697059681,.1076352710758831,.1225515039170693,.1381778675389365,.428386918291466,.0401315601555791,.1972942886506534,-.014916233
Greenland,.0873625302942639,.0579466955202575,.0534953097447646,.0807245409858465,.5022932879511454,.1434056863719992,.1282672585980584,.0044513857
Grenada,.2318001431459486,.1026173274526182,.0170268755795188,.0420211976248449,.3957852027865537,.0813085591243461,.1596500843601313,.085590452
Guatemala,.1550203308999517,.038882171691614,.2412613570183576,.2578820976905576,.2865757585051092,.0256665445271404,.2423239276161067,-.20237918
Guinea,.2301722153902685,.0732627923094399,.0593573536748076,.2571318992668899,.1930264839487244,.0653803100086777,.1961509108703131,.013905439
Guinea-Bissau,.5289277434130583,.0689136368312681,.2294165982029614,.2466755163418971,.0545508016700534,.0137910896531732,.0871412120905499,-.16050296
Guyana,.1625129355416927,.0480735151201916,.0893647614411929,.4500519742555518,.160608615307084,.0419256494759117,.088803064073211,-.041291248
Haiti,.3982435366706271,.0772640480097584,.17409444876442,.2059222282318996,.0948191390345594,.031144792032226,.1201162162988587,-.096830398
Honduras,.2085429512316322,.1063160306513887,.1656840299536367,.1773689557645942,.2289126838772068,.0572099709070019,.2569964477472516,-.059367999
Hungary,.0705893606133945,.0701706895945892,.1591827577929076,.2686741727797112,.3236151842013672,.10132249774736,.1656280950635781,-.089012071
Iceland,.1186954743770208,.1509271700413006,.158039105983015,.1815814001141467,.344869855248669,.0708887745979984,.1330373256208645,-.0071119359
India,.4219512130112519,.0799401291233219,.1271628047919815,.1686538655093475,.1818479712747802,.0257941298067801,.0604275905383585,-.047222674
Indonesia,.2786646474523945,.0252678489189443,.0556555755003723,.3009118302853611,.1616645757421372,.0250562341497188,.154768700107859,-.030387726
Iran (Islamic Republic of),.0317298657095699,.0410130845088778,.0247280152810364,.7308810004088112,.1727155875631701,.0184971017587385,.0515924997348559,.016285069
Iraq,.0701083681504622,.0015735641074462,.0195745441927436,.9011382571260016,.046980534379508,.0313476098102165,.0095798152892592,-.018000981
Ireland,.0419632015650592,.0529091579627178,.1203100244126415,.1380125500402354,.5121542059585459,.0897239170558565,.1431201971562666,-.067400865
Israel,.0456646523564758,.0875981298056964,.2242696494853503,.2613526034949373,.4035916406800889,.1183135398779798,.0937400337889392,-.13667151
Italy,.0342749418590124,.1084648725667654,.1496537655629942,.1908163537978406,.4582413865521871,.0489452967700212,.1547120086465655,-.041188892
