wb,country,productdiversification,gdp
AGO,Angola,4.3386698,744.76337
ALB,Albania,2.77458,738.78839
ARG,Argentina,2.9317901,2272.6833
AUS,Australia,2.71316,3560.688
AUT,Austria,1.36693,3019.1985
BEN,Benin,3.51091,306.57535
BFA,Burkina Faso,4.2536998,169.42651
BGR,Bulgaria,2.3391199,845.78339
BHS,"Bahamas, The",4.1556001,3640.2034
BLZ,Belize,5.8680501,471.04904
BOL,Bolivia,4.6375799,634.17181
BRA,Brazil,3.4883299,1016.6224
BRB,Barbados,4.0985599,1155.7325
CAF,Central African Republic,4.6291399,174.59357
CAN,Canada,2.19923,3698.1321
CHE,Switzerland,1.81933,5920.4741
CHL,Chile,4.7681899,1337.1656
CIV,Côte d'Ivoire,4.1841502,551.73004
CMR,Cameroon,4.1617799,339.40707
COD,"Congo, Democratic Republic of the",3.8234301,359.71432
COG,"Congo, Republic of",3.74822,627.26929
COL,Colombia,4.6031399,821.6886
COM,Comoros,4.6946301,230.35153
CYP,Cyprus,3.61151,1592.8618
DNK,Denmark,1.79777,3829.8569
DOM,Dominican Republic,4.6774802,624.38129
DZA,Algeria,5.0880799,1682.1809
EGY,Egypt,4.0879798,705.49127
ESP,Spain,1.89384,2306.02
FIN,Finland,2.69683,2582.8635
FJI,Fiji,4.6630101,714.01227
GAB,Gabon,4.7660999,3524.3884
GHA,Ghana,4.6427698,427.95425
GMB,"Gambia, The",4.41155,212.70929
GRC,Greece,2.94631,2195.7896
GTM,Guatemala,3.4273901,874.92865
GUY,Guyana,4.3095002,805.03363
HKG,Hong Kong SAR,2.6919899,1374.045
HND,Honduras,4.4935198,562.76495
HTI,Haiti,3.84302,345.83383
HUN,Hungary,1.69131,1356.4753
IDN,Indonesia,3.7086699,268.46069
IND,India,2.76794,211.10744
IRN,Iran,5.1588402,2311.2769
ISL,Iceland,4.2094898,2790.9319
ISR,Israel,3.0892,1891.264
JAM,Jamaica,4.3608198,1241.1753
JOR,Jordan,3.2568099,1439.8522
JPN,Japan,1.51529,2066.1348
KEN,Kenya,3.3685999,303.36398
KOR,Korea,2.76402,368.11118
LAO,Lao P.D.R.,4.8864899,174.9202
LBN,Lebanon,2.0866201,3857.385
LKA,Sri Lanka,5.0367699,276.92365
MAR,Morocco,3.40345,494.2471
MDG,Madagascar,3.4585199,444.02625
MEX,Mexico,2.5090001,1539.1744
MLI,Mali,4.2325101,236.43996
MUS,Mauritius,5.9752698,680.1319
MYS,Malaysia,3.8402801,819.64771
NER,Niger,5.5728002,225.18102
NOR,Norway,1.96444,4561.2451
NPL,Nepal,4.0057902,194.85304
NZL,New Zealand,3.61641,3375.9939
OMN,Oman,5.7863102,3050.2305
PAK,Pakistan,3.74347,287.0145
PAN,Panama,3.5443201,1216.502
PER,Peru,3.78561,1274.7372
PHL,Philippines,3.7694299,578.45667
PNG,Papua New Guinea,4.0383701,261.44839
POL,Poland,1.92781,1256.3405
PRT,Portugal,1.99701,1500.2499
PRY,Paraguay,3.4114399,632.93365
ROU,Romania,2.3890901,1257.9758
RWA,Rwanda,5.41993,158.02301
SDN,Sudan,4.6002898,155.32735
SEN,Senegal,3.94174,420.70105
SGP,Singapore,2.9016299,1389.7052
SYR,Syria,3.70628,516.67963
TCD,Chad,5.4681802,216.94951
TGO,Togo,4.6508198,326.76981
THA,Thailand,3.57321,426.2511
TUN,Tunisia,3.42906,447.40329
TUR,Turkey,3.7702899,1022.9288
TZA,Tanzania,3.4569399,240.50768
UGA,Uganda,5.1213002,216.37529
URY,Uruguay,3.72791,1330.5454
VEN,Venezuela,5.1104598,3253.342
ZAF,South Africa,2.50897,1737.8224
ZMB,Zambia,5.4184699,700.34595
